subject,RSN,RSN_name,IC,corr,rank,selected
HCD1842558,4,Default Mode Network,70,0.159,top2,False
HCD1842558,6,Sensorimotor,44,0.136,top1,True
HCD1842558,6,Sensorimotor,71,0.097,top2,False
HCD1842558,7,Auditory,44,0.138,top1,True
HCD1842558,7,Auditory,67,0.136,top2,False
HCD1842558,8,Executive Control,55,0.11,top1,True
HCD1842558,8,Executive Control,49,0.09,top2,False
HCD1842558,9,Frontoparietal,31,0.19,top1,True
HCD1842558,9,Frontoparietal,49,0.14,top2,False
HCD1842558,10,Frontoparietal,19,0.2,top1,True
HCD1842558,10,Frontoparietal,17,0.198,top2,False
HCD2600034,1,Visual,41,0.223,top1,True
HCD2600034,1,Visual,26,0.096,top2,False
HCD2600034,2,Visual,23,0.167,top1,True
HCD2600034,2,Visual,9,0.092,top2,False
HCD2600034,3,Visual,52,0.193,top1,True
HCD2600034,3,Visual,41,0.126,top2,False
HCD2600034,4,Default Mode Network,48,0.174,top1,True
HCD2600034,4,Default Mode Network,46,0.084,top2,False
HCD2600034,6,Sensorimotor,56,0.122,top1,True
HCD2600034,6,Sensorimotor,51,0.084,top2,False
HCD2600034,7,Auditory,26,0.123,top1,True
HCD2600034,7,Auditory,44,0.074,top2,False
HCD2600034,8,Executive Control,41,0.06,top1,True
HCD2600034,8,Executive Control,63,0.055,top2,False
HCD2600034,9,Frontoparietal,49,0.113,top1,True
HCD2600034,9,Frontoparietal,42,0.099,top2,False
HCD2600034,10,Frontoparietal,38,0.168,top1,True
HCD2600034,10,Frontoparietal,49,0.068,top2,False
HCD1196553,1,Visual,55,0.28,top1,True
HCD1196553,1,Visual,40,0.191,top2,False
HCD1196553,2,Visual,57,0.167,top1,True
HCD1196553,2,Visual,40,0.136,top2,False
HCD1196553,3,Visual,42,0.168,top1,True
HCD1196553,3,Visual,43,0.058,top2,False
HCD1196553,4,Default Mode Network,25,0.198,top1,True
HCD1196553,4,Default Mode Network,43,0.124,top2,False
HCD1196553,6,Sensorimotor,61,0.135,top1,True
HCD1196553,6,Sensorimotor,63,0.099,top2,False
HCD1196553,7,Auditory,54,0.176,top1,True
HCD1196553,7,Auditory,37,0.11,top2,False
HCD1196553,8,Executive Control,33,0.163,top1,True
HCD1196553,8,Executive Control,48,0.098,top2,False
HCD1196553,9,Frontoparietal,20,0.204,top1,True
HCD1196553,9,Frontoparietal,36,0.099,top2,False
HCD1196553,10,Frontoparietal,47,0.193,top1,True
HCD1196553,10,Frontoparietal,36,0.11,top2,False
